task_num,trial_num,rotation_angle,targetangle_deg,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px,ppt,stratuse,exp,angular_dev
11,6,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-13.036,10.145,-13.036,10.145,11_abruptExp,0,abruptExp,-12.9679294364388
11,7,0,135,0,-10.691,-21.599,21.599,1.5513e+12,-15.218,13.418,-15.218,13.418,11_abruptExp,0,abruptExp,-12.7392008425527
11,8,0,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.1818,13.473,-2.1818,13.473,11_abruptExp,0,abruptExp,5.15932269755979
11,9,0,45,0,-10.691,21.599,21.599,1.5513e+12,12.164,14.454,12.164,14.454,11_abruptExp,0,abruptExp,19.1844281503697
22,1,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-1.9091,12,-1.9091,12,12_abruptExp,0,abruptExp,4.80923573265683
22,2,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-9.709,6.3272,-9.709,6.3272,12_abruptExp,0,abruptExp,-15.294944862645
22,3,-60,45,0,-10.691,21.599,21.599,1.5513e+12,7.6363,10.691,7.6363,10.691,12_abruptExp,0,abruptExp,25.34648149273
22,4,-60,45,0,-10.691,21.599,21.599,1.5513e+12,5.8909,8.7817,5.8909,8.7817,12_abruptExp,0,abruptExp,28.1683335070193
22,5,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-1.0364,7.8545,-1.0364,7.8545,12_abruptExp,0,abruptExp,3.19860045114073
22,6,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-8.509,5.7272,-8.509,5.7272,12_abruptExp,0,abruptExp,-17.6038140890085
22,7,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-8.8908,5.509,-8.8908,5.509,12_abruptExp,0,abruptExp,-16.2413675558611
22,8,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-1.1454,5.9454,-1.1454,5.9454,12_abruptExp,0,abruptExp,3.93854353340494
22,9,-60,45,0,-10.691,21.599,21.599,1.5513e+12,6,11.018,6,11.018,12_abruptExp,0,abruptExp,29.550102412184
18,1,-60,45,0,-10.691,21.599,21.599,1.5513e+12,11.618,12.054,11.618,12.054,12_abruptExp,0,abruptExp,17.9423464803045
18,2,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-6.9818,6.2181,-6.9818,6.2181,12_abruptExp,0,abruptExp,-22.5641751945634
18,3,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.81818,9.2181,-0.81818,9.2181,12_abruptExp,0,abruptExp,2.3532905690853
18,4,-60,45,0,-10.691,21.599,21.599,1.5513e+12,6.8727,8.1272,6.8727,8.1272,12_abruptExp,0,abruptExp,24.9370184373133
18,5,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-9.709,7.6363,-9.709,7.6363,12_abruptExp,0,abruptExp,-17.0873187359313
